0: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 256, B: 2000000, T: 8, Ultra: 100000, Align: 13.499, Diff: 5.490 ,Wall: 47.744
1: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 256, B: 2000000, T: 8, Ultra: 100000, Align: 13.866, Diff: 5.629 ,Wall: 49.619
2: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 256, B: 2000000, T: 8, Ultra: 100000, Align: 13.546, Diff: 5.633 ,Wall: 48.599
3: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 256, B: 5400000, T: 8, Ultra: 100000, Align: 14.196, Diff: 5.978 ,Wall: 50.100
4: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 256, B: 5400000, T: 8, Ultra: 100000, Align: 14.093, Diff: 5.906 ,Wall: 48.598
5: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 256, B: 5400000, T: 8, Ultra: 100000, Align: 13.338, Diff: 5.297 ,Wall: 48.819
6: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 512, B: 5400000, T: 8, Ultra: 100000, Align: 13.259, Diff: 4.781 ,Wall: 46.803
7: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 512, B: 5400000, T: 8, Ultra: 100000, Align: 12.746, Diff: 4.421 ,Wall: 49.541
8: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 512, B: 5400000, T: 8, Ultra: 100000, Align: 13.403, Diff: 5.486 ,Wall: 49.746
9: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 1024, B: 5400000, T: 8, Ultra: 100000, Align: 12.376, Diff: 4.289 ,Wall: 52.997
10: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 1024, B: 5400000, T: 8, Ultra: 100000, Align: 11.629, Diff: 3.401 ,Wall: 54.622
11: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 1024, B: 5400000, T: 8, Ultra: 100000, Align: 13.120, Diff: 4.990 ,Wall: 56.558
12: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 768, B: 5400000, T: 8, Ultra: 100000, Align: 13.175, Diff: 4.537 ,Wall: 51.826
13: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 768, B: 5400000, T: 8, Ultra: 100000, Align: 12.295, Diff: 3.944 ,Wall: 49.903
14: max-lf: 3.00, avg-epk: 2.00, max-epk: 5.00, K: 768, B: 5400000, T: 8, Ultra: 100000, Align: 12.866, Diff: 4.099 ,Wall: 51.017
